long,lat,order,hole,piece,group,id,total
-87.6545559,41.99816615,1,FALSE,1,1.1,1,34
-87.65573693,41.99817521,2,FALSE,1,1.1,1,34
-87.65577335,41.99819571,3,FALSE,1,1.1,1,34
-87.65580429,41.99820915,4,FALSE,1,1.1,1,34
-87.65584691,41.99822134,5,FALSE,1,1.1,1,34
-87.65591636,41.99823237,6,FALSE,1,1.1,1,34
-87.65600351,41.99823617,7,FALSE,1,1.1,1,34
-87.65607416,41.99823505,8,FALSE,1,1.1,1,34
-87.65636459,41.99823244,9,FALSE,1,1.1,1,34
-87.65646688,41.99823152,10,FALSE,1,1.1,1,34
-87.65651857,41.99823131,11,FALSE,1,1.1,1,34
-87.65690019,41.99822969,12,FALSE,1,1.1,1,34
-87.65706259,41.99822754,13,FALSE,1,1.1,1,34
-87.65720871,41.99822561,14,FALSE,1,1.1,1,34
-87.65739786,41.99822345,15,FALSE,1,1.1,1,34
-87.65776517,41.99821934,16,FALSE,1,1.1,1,34
-87.65807578,41.99821586,17,FALSE,1,1.1,1,34
-87.65853312,41.99820999,18,FALSE,1,1.1,1,34
-87.65865678,41.99820864,19,FALSE,1,1.1,1,34
-87.65882397,41.99820682,20,FALSE,1,1.1,1,34
-87.65916099,41.99820349,21,FALSE,1,1.1,1,34
-87.65917659,41.99820383,22,FALSE,1,1.1,1,34
-87.6592145,41.99820366,23,FALSE,1,1.1,1,34
-87.65928561,41.99820334,24,FALSE,1,1.1,1,34
-87.65932697,41.99820316,25,FALSE,1,1.1,1,34
-87.65943155,41.9982027,26,FALSE,1,1.1,1,34
-87.65954846,41.99820218,27,FALSE,1,1.1,1,34
-87.65972814,41.99819882,28,FALSE,1,1.1,1,34
-87.65975967,41.99819823,29,FALSE,1,1.1,1,34
-87.66005286,41.99819274,30,FALSE,1,1.1,1,34
-87.66027927,41.99819214,31,FALSE,1,1.1,1,34
-87.66046825,41.99819004,32,FALSE,1,1.1,1,34
-87.66052829,41.99818938,33,FALSE,1,1.1,1,34
-87.66054502,41.99818919,34,FALSE,1,1.1,1,34
-87.66055652,41.99818906,35,FALSE,1,1.1,1,34
-87.66063444,41.9981882,36,FALSE,1,1.1,1,34
-87.66101998,41.99818391,37,FALSE,1,1.1,1,34
-87.66119225,41.99818163,38,FALSE,1,1.1,1,34
-87.66149845,41.99817758,39,FALSE,1,1.1,1,34
-87.66183394,41.99817432,40,FALSE,1,1.1,1,34
-87.66201888,41.99817297,41,FALSE,1,1.1,1,34
-87.66241142,41.99816887,42,FALSE,1,1.1,1,34
-87.66261488,41.99816674,43,FALSE,1,1.1,1,34
-87.66284171,41.99816438,44,FALSE,1,1.1,1,34
-87.66305192,41.99815823,45,FALSE,1,1.1,1,34
-87.66317392,41.99815976,46,FALSE,1,1.1,1,34
-87.66352427,41.99815558,47,FALSE,1,1.1,1,34
-87.66361632,41.99815467,48,FALSE,1,1.1,1,34
-87.66401111,41.99815079,49,FALSE,1,1.1,1,34
-87.66425128,41.9981487,50,FALSE,1,1.1,1,34
-87.66444157,41.99814704,51,FALSE,1,1.1,1,34
-87.66477491,41.99814388,52,FALSE,1,1.1,1,34
-87.66480391,41.99814363,53,FALSE,1,1.1,1,34
-87.66521421,41.99814013,54,FALSE,1,1.1,1,34
-87.66540481,41.99813707,55,FALSE,1,1.1,1,34
-87.66550445,41.99813548,56,FALSE,1,1.1,1,34
-87.6657495,41.99813155,57,FALSE,1,1.1,1,34
-87.66601485,41.99812907,58,FALSE,1,1.1,1,34
-87.66614561,41.99812785,59,FALSE,1,1.1,1,34
-87.66624568,41.99812692,60,FALSE,1,1.1,1,34
-87.66661081,41.99812352,61,FALSE,1,1.1,1,34
-87.66674801,41.99812208,62,FALSE,1,1.1,1,34
-87.66692034,41.99812027,63,FALSE,1,1.1,1,34
-87.66734261,41.99811616,64,FALSE,1,1.1,1,34
-87.66765947,41.99811306,65,FALSE,1,1.1,1,34
-87.66783247,41.99811071,66,FALSE,1,1.1,1,34
-87.66796195,41.99810895,67,FALSE,1,1.1,1,34
-87.66821152,41.99810556,68,FALSE,1,1.1,1,34
-87.66837481,41.99810387,69,FALSE,1,1.1,1,34
-87.66855322,41.99810174,70,FALSE,1,1.1,1,34
-87.66901497,41.99809635,71,FALSE,1,1.1,1,34
-87.66917043,41.99809408,72,FALSE,1,1.1,1,34
-87.669387,41.9980909,73,FALSE,1,1.1,1,34
-87.67009101,41.9980815,74,FALSE,1,1.1,1,34
-87.67037226,41.99807775,75,FALSE,1,1.1,1,34
-87.67047238,41.9980768,76,FALSE,1,1.1,1,34
-87.6705906,41.99807568,77,FALSE,1,1.1,1,34
-87.67069377,41.9980747,78,FALSE,1,1.1,1,34
-87.67085836,41.99807314,79,FALSE,1,1.1,1,34
-87.67128196,41.99806535,80,FALSE,1,1.1,1,34
-87.67131041,41.99806484,81,FALSE,1,1.1,1,34
-87.67175897,41.99805674,82,FALSE,1,1.1,1,34
-87.67199219,41.9980515,83,FALSE,1,1.1,1,34
-87.67215337,41.99804787,84,FALSE,1,1.1,1,34
-87.67227645,41.99804558,85,FALSE,1,1.1,1,34
-87.67244847,41.99804238,86,FALSE,1,1.1,1,34
-87.67283144,41.99803512,87,FALSE,1,1.1,1,34
-87.673379,41.99802416,88,FALSE,1,1.1,1,34
-87.67356142,41.9980213,89,FALSE,1,1.1,1,34
-87.67373242,41.99801862,90,FALSE,1,1.1,1,34
-87.67416521,41.99800985,91,FALSE,1,1.1,1,34
-87.67449366,41.99800293,92,FALSE,1,1.1,1,34
-87.67486273,41.99799544,93,FALSE,1,1.1,1,34
-87.6750125,41.99799275,94,FALSE,1,1.1,1,34
-87.67516791,41.99798995,95,FALSE,1,1.1,1,34
-87.67517807,41.99798978,96,FALSE,1,1.1,1,34
-87.67523503,41.99798886,97,FALSE,1,1.1,1,34
